epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,10447.4,1.34578,1.31032,1.69481,0.88619,0.8533,0.93168,0.62889,1.14117,0.76365,1.63311,0.0091189,0.0091189,0.0091189
91,10563.3,1.31998,1.3081,1.68446,0.88254,0.86473,0.93542,0.63398,1.1469,0.74319,1.62419,0.009109,0.009109,0.009109
92,10678.9,1.31799,1.29825,1.69206,0.90075,0.8676,0.94189,0.64798,1.10966,0.73106,1.60561,0.0090991,0.0090991,0.0090991
93,10795.3,1.32325,1.30614,1.69063,0.89525,0.87407,0.93953,0.65319,1.09147,0.71084,1.58372,0.0090892,0.0090892,0.0090892
94,10910.8,1.29757,1.27151,1.67391,0.89227,0.88447,0.94038,0.65876,1.08623,0.70813,1.57747,0.0090793,0.0090793,0.0090793
95,11026.5,1.30419,1.2783,1.67326,0.91177,0.87857,0.94746,0.67277,1.06341,0.67108,1.53358,0.0090694,0.0090694,0.0090694
96,11142.7,1.29945,1.27547,1.67904,0.90916,0.88611,0.95171,0.66907,1.09418,0.67376,1.58292,0.0090595,0.0090595,0.0090595
97,11258.4,1.29454,1.25808,1.66809,0.91026,0.90812,0.95876,0.68205,1.04844,0.64504,1.529,0.0090496,0.0090496,0.0090496
98,11374.2,1.2536,1.22038,1.63105,0.89539,0.89333,0.95081,0.67691,1.04417,0.64828,1.51732,0.0090397,0.0090397,0.0090397
99,11489.9,1.26389,1.20728,1.62827,0.9147,0.87638,0.94993,0.66735,1.07939,0.66272,1.54814,0.0090298,0.0090298,0.0090298
100,11606,1.25702,1.19826,1.61502,0.92389,0.89668,0.96077,0.68921,1.02564,0.61572,1.48619,0.0090199,0.0090199,0.0090199
101,11721.9,1.25715,1.17747,1.63044,0.9066,0.91566,0.9617,0.69448,1.00643,0.61122,1.47418,0.00901,0.00901,0.00901
102,11837.4,1.25855,1.18767,1.62309,0.91429,0.89944,0.95762,0.68586,1.03457,0.63096,1.50385,0.0090001,0.0090001,0.0090001
103,11953.5,1.22459,1.17091,1.60331,0.90944,0.91032,0.96063,0.6921,1.02322,0.61236,1.49748,0.0089902,0.0089902,0.0089902
104,12069.4,1.20577,1.14548,1.58785,0.91309,0.9175,0.96542,0.71221,0.96671,0.59078,1.44245,0.0089803,0.0089803,0.0089803
105,12185.2,1.20985,1.16929,1.58921,0.93725,0.90417,0.96612,0.71527,0.96115,0.58516,1.42306,0.0089704,0.0089704,0.0089704
106,12301.1,1.22331,1.1254,1.57953,0.93375,0.90964,0.96503,0.71031,0.98549,0.57294,1.44811,0.0089605,0.0089605,0.0089605
107,12417.2,1.22781,1.13438,1.58527,0.92512,0.92792,0.97028,0.72961,0.92918,0.55757,1.40414,0.0089506,0.0089506,0.0089506
108,12533.2,1.23085,1.1404,1.58412,0.93304,0.92734,0.97003,0.7288,0.93248,0.55576,1.40351,0.0089407,0.0089407,0.0089407
109,12648.8,1.20156,1.12976,1.57578,0.93783,0.9329,0.97193,0.73821,0.90214,0.51957,1.35661,0.0089308,0.0089308,0.0089308
110,12764.4,1.18884,1.07854,1.5537,0.93136,0.92373,0.96727,0.72661,0.92104,0.54478,1.37604,0.0089209,0.0089209,0.0089209
111,12880.7,1.1784,1.09441,1.54389,0.93214,0.93696,0.97073,0.74127,0.8974,0.52009,1.37039,0.008911,0.008911,0.008911
112,12996.4,1.19816,1.09275,1.56064,0.94622,0.93877,0.97737,0.74746,0.8808,0.49559,1.33764,0.0089011,0.0089011,0.0089011
113,13112.4,1.15979,1.03926,1.52575,0.94816,0.93806,0.97664,0.75019,0.88053,0.50032,1.33594,0.0088912,0.0088912,0.0088912
114,13228.7,1.15104,1.06048,1.5338,0.93964,0.94153,0.97556,0.75004,0.87508,0.49837,1.33941,0.0088813,0.0088813,0.0088813
115,13344.7,1.16394,1.08784,1.53756,0.94729,0.94212,0.97913,0.75592,0.8629,0.48498,1.30829,0.0088714,0.0088714,0.0088714
116,13460.7,1.15431,1.08288,1.53583,0.94325,0.93504,0.97561,0.75738,0.86505,0.49031,1.3096,0.0088615,0.0088615,0.0088615
117,13577.1,1.17236,1.05843,1.53053,0.95432,0.94506,0.98093,0.76634,0.84969,0.47098,1.2932,0.0088516,0.0088516,0.0088516
118,13693,1.14473,1.03042,1.5229,0.94317,0.95346,0.97895,0.76784,0.83644,0.46535,1.28457,0.0088417,0.0088417,0.0088417
119,13809.4,1.13799,1.04543,1.51473,0.95393,0.94978,0.98162,0.77259,0.82234,0.45502,1.27496,0.0088318,0.0088318,0.0088318
120,13925.6,1.14358,1.0026,1.50947,0.96347,0.94899,0.98278,0.78272,0.80462,0.43849,1.26233,0.0088219,0.0088219,0.0088219
121,14041.6,1.1401,1.05311,1.51455,0.95659,0.9491,0.98078,0.77815,0.8024,0.44664,1.25691,0.008812,0.008812,0.008812
122,14157.6,1.10365,0.98988,1.47718,0.95653,0.95661,0.98305,0.78565,0.79253,0.43716,1.24337,0.0088021,0.0088021,0.0088021
123,14273.3,1.10725,0.98377,1.47894,0.96019,0.95829,0.98436,0.79053,0.78025,0.42344,1.22583,0.0087922,0.0087922,0.0087922
124,14389.4,1.10833,0.99054,1.48622,0.9594,0.95843,0.9834,0.78264,0.79745,0.42937,1.23782,0.0087823,0.0087823,0.0087823
125,14504.9,1.1062,0.97367,1.48536,0.96198,0.96088,0.98504,0.79025,0.77828,0.42197,1.23106,0.0087724,0.0087724,0.0087724
126,14620.6,1.0925,0.96054,1.46549,0.95836,0.96295,0.98563,0.79569,0.76815,0.40953,1.21963,0.0087625,0.0087625,0.0087625
127,14736.8,1.09175,0.96296,1.46146,0.96006,0.96599,0.98557,0.79606,0.76116,0.41237,1.203,0.0087526,0.0087526,0.0087526
128,14852.7,1.0804,0.95694,1.45429,0.96231,0.95969,0.98452,0.7978,0.75086,0.41124,1.20305,0.0087427,0.0087427,0.0087427
129,14968.6,1.07895,0.948,1.46615,0.96435,0.96758,0.98673,0.80401,0.73638,0.39615,1.20284,0.0087328,0.0087328,0.0087328
130,15084.7,1.08221,0.94474,1.45589,0.96842,0.96611,0.98633,0.80514,0.73249,0.39017,1.17276,0.0087229,0.0087229,0.0087229
131,15200.4,1.0821,0.94125,1.43769,0.96577,0.97243,0.98695,0.80636,0.7284,0.39308,1.16783,0.008713,0.008713,0.008713
132,15316.1,1.07199,0.9524,1.44447,0.96829,0.96442,0.98551,0.80342,0.72387,0.38727,1.1674,0.0087031,0.0087031,0.0087031
133,15431.6,1.06531,0.94987,1.45102,0.96947,0.96721,0.98796,0.80943,0.72547,0.38018,1.1712,0.0086932,0.0086932,0.0086932
134,15547.9,1.0551,0.91225,1.43026,0.97063,0.9732,0.98724,0.81868,0.69569,0.36781,1.13894,0.0086833,0.0086833,0.0086833
135,15663.8,1.06424,0.90654,1.4399,0.97549,0.96916,0.98892,0.8234,0.69127,0.36488,1.13147,0.0086734,0.0086734,0.0086734
136,15779.6,1.0549,0.92622,1.43255,0.97537,0.96489,0.98841,0.81946,0.69241,0.36826,1.1332,0.0086635,0.0086635,0.0086635
137,15895.5,1.03528,0.89708,1.40761,0.97318,0.97147,0.98888,0.81813,0.71062,0.36273,1.14736,0.0086536,0.0086536,0.0086536
138,16010.9,1.03439,0.89432,1.41868,0.9696,0.9734,0.98889,0.82662,0.67545,0.3585,1.12327,0.0086437,0.0086437,0.0086437
139,16126.8,1.02936,0.89491,1.4041,0.97015,0.97157,0.98819,0.83185,0.66511,0.35656,1.11601,0.0086338,0.0086338,0.0086338
140,16242.9,1.04935,0.92684,1.4339,0.97624,0.97282,0.99025,0.83174,0.65845,0.35076,1.11498,0.0086239,0.0086239,0.0086239
141,16358.6,1.04019,0.89846,1.41877,0.97199,0.97508,0.9891,0.83062,0.66097,0.35195,1.10621,0.008614,0.008614,0.008614
142,16474.5,1.02424,0.89948,1.39643,0.97662,0.96967,0.98948,0.83697,0.64671,0.34641,1.10047,0.0086041,0.0086041,0.0086041
143,16591,1.01917,0.90305,1.40714,0.97544,0.97659,0.99002,0.83864,0.64004,0.34425,1.09897,0.0085942,0.0085942,0.0085942
144,16707.1,1.01678,0.86365,1.41269,0.97586,0.97647,0.98837,0.84084,0.63554,0.33615,1.08862,0.0085843,0.0085843,0.0085843
145,16823.2,1.01741,0.87223,1.41118,0.97774,0.9785,0.98951,0.84155,0.63107,0.33263,1.09463,0.0085744,0.0085744,0.0085744
146,16939,0.99113,0.87118,1.38251,0.98138,0.97561,0.98975,0.84808,0.61681,0.32554,1.07864,0.0085645,0.0085645,0.0085645
147,17055.2,0.99837,0.854,1.39192,0.97817,0.97687,0.99026,0.84842,0.62062,0.32842,1.08116,0.0085546,0.0085546,0.0085546
148,17171.2,0.99026,0.8447,1.38173,0.97866,0.97992,0.9903,0.85082,0.6109,0.32077,1.07893,0.0085447,0.0085447,0.0085447
149,17287,0.98904,0.86656,1.38072,0.9781,0.98044,0.99097,0.85065,0.60292,0.318,1.06906,0.0085348,0.0085348,0.0085348
150,17403.1,0.96886,0.84462,1.35935,0.98017,0.98249,0.99098,0.85333,0.6031,0.31467,1.05306,0.0085249,0.0085249,0.0085249
151,17519.2,0.99477,0.84874,1.36977,0.98373,0.97717,0.9913,0.85064,0.61379,0.31744,1.06421,0.008515,0.008515,0.008515
152,17634.7,0.97829,0.81964,1.3623,0.9872,0.97753,0.99138,0.85896,0.59306,0.3044,1.04943,0.0085051,0.0085051,0.0085051
153,17750.9,0.98316,0.83164,1.36608,0.98119,0.9801,0.99127,0.86099,0.58096,0.30146,1.0359,0.0084952,0.0084952,0.0084952
